1;3062.00;9.50;1086.00;small
1;3066.00;9.50;3212.00;small
2;1299.00;12.00;1494.00;small
2;1179.00;13.15;1450.00;small
3;867.00;9.70;1170.00;small
3;904.00;9.70;1324.00;small
4;1004.00;10.25;1309.00;small
4;941.00;9.70;1163.00;small
5;1168.00;10.70;1656.00;small
5;1266.00;10.32;1623.00;small
6;1481.00;13.18;1485.00;small
6;1563.00;10.65;1595.00;small
7;1382.00;9.70;1614.00;big
7;1407.00;10.20;1689.00;big
8;1512.00;12.85;1657.00;big
8;1456.00;9.70;1536.00;small
8;1469.00;9.70;1591.00;small
9;1143.00;10.62;1381.00;small
9;1279.00;11.38;1432.00;small
10;1901.00;10.20;1831.00;small
10;1926.00;9.70;1726.00;small
11;1803.00;14.98;1710.00;big
11;1686.00;11.50;1631.00;big
12;1603.00;12.18;1741.00;small
12;1638.00;9.70;1868.00;small
13;1777.00;15.23;1895.00;big
13;1895.00;9.78;2007.00;big
14;2042.00;10.62;2005.00;big
14;2074.00;10.03;2085.00;big
14;1995.00;11.70;2113.00;big
15;2030.00;10.35;2224.00;big
15;2136.00;9.70;2190.00;big
16;2113.00;10.93;2350.00;big
16;2080.00;9.70;2482.00;big
17;1086.00;10.90;1541.00;big
18;1963.00;13.45;1961.00;small
18;2067.00;11.50;1930.00;small
19;2346.00;9.78;2844.00;big
19;2097.00;9.50;2772.00;big
20;2259.00;9.98;3037.00;big
20;2503.00;9.70;2965.00;big
21;2027.00;9.70;1716.00;big
21;2020.00;9.73;1857.00;big
22;685.00;12.82;2500.00;small
22;746.00;14.35;2655.00;small
22;499.00;10.12;2381.00;small
23;2277.00;10.43;3515.00;small
23;2326.00;10.28;3939.00;small
24;456.00;9.70;1622.00;small
24;475.00;9.70;1756.00;small
25;620.00;9.70;1684.00;small
25;664.00;9.70;1808.00;small
26;427.00;9.70;1862.00;small
26;515.00;9.70;1858.00;small
26;577.00;10.03;1904.00;small
27;521.00;12.20;2146.00;small
27;637.00;12.35;1997.00;small
28;331.00;9.70;2069.00;small
28;383.00;9.70;2157.00;small
28;266.00;9.70;2121.00;small
29;482.00;9.90;1956.00;big
29;443.00;9.70;2044.00;big
30;342.00;9.70;2267.00;big
30;261.00;10.25;2368.00;big
31;1213.00;11.30;2987.00;big
31;1572.00;12.35;3279.00;big
32;1077.00;11.88;3932.00;big
32;726.00;9.75;4005.00;big
33;484.00;11.07;2613.00;small
33;821.00;11.75;3070.00;small
34;1017.00;9.70;3065.00;big
34;879.00;9.70;2815.00;big
35;1433.00;9.70;3654.00;big
35;1273.00;9.73;3289.00;big
35;977.00;10.25;3388.00;big
35;1226.00;10.55;3496.00;big
36;1542.00;9.70;3922.00;big
36;942.00;9.70;3630.00;big
37;52.00;9.70;2437.00;big
37;194.00;10.55;2491.00;big
38;118.00;9.50;3094.00;big
38;144.00;9.82;2715.00;big
38;314.00;9.80;2951.00;big
39;235.00;9.70;3467.00;big
39;535.00;10.80;3832.00;big
39;190.00;10.35;3866.00;big
40;627.00;12.88;3059.00;big
40;709.00;9.70;3358.00;big
40;445.00;9.70;3196.00;big
40;519.00;9.70;3484.00;big
41;1943.00;11.73;3965.00;big
41;1672.00;12.80;3583.00;big
41;1834.00;14.90;3703.00;big
42;1186.00;9.50;1165.00;small
42;1543.00;9.50;1205.00;small
43;45.00;9.50;1795.00;big
43;25.00;9.50;2040.00;big
44;1076.00;9.50;2662.00;big
44;1388.00;9.50;2640.00;big
45;2690.00;9.50;3798.00;big
45;2538.00;9.50;3986.00;big
46;2854.00;9.50;4005.00;big
46;2993.00;9.50;3705.00;big
47;2429.00;9.50;3838.00;big
47;2339.00;9.50;3694.00;big
48;2737.00;9.50;2931.00;big
48;2739.00;9.50;3101.00;big
49;2929.00;13.23;3225.00;big
49;2912.00;9.50;2819.00;big
50;2437.00;9.50;2193.00;big
50;2495.00;9.50;2595.00;big
51;2300.00;9.50;3320.00;big
51;2330.00;9.50;3401.00;big
52;2481.00;9.50;3490.00;big
53;630.00;9.50;2239.00;big
53;709.00;9.50;2389.00;big
54;214.00;9.50;2265.00;big
54;179.00;9.50;2130.00;big
55;51.00;9.50;2201.00;big
55;58.00;9.50;2305.00;big
56;307.00;9.50;2025.00;big
56;233.00;9.50;2013.00;big
57;399.00;9.70;1981.00;big
57;334.00;9.50;1929.00;big
58;384.00;9.50;1731.00;big
58;324.00;9.50;1831.00;big
59;290.00;9.50;1540.00;big
59;360.00;9.70;1583.00;big
60;807.00;9.50;1572.00;big
60;716.00;9.50;1486.00;big
61;521.00;9.70;1541.00;big
61;422.00;9.80;1499.00;big
62;582.00;9.80;1592.00;big
62;659.00;10.43;1599.00;big
63;1067.00;9.50;2829.00;big
63;947.00;9.50;2758.00;big
64;544.00;9.50;2306.00;big
64;542.00;9.50;2241.00;big
65;860.00;9.50;2639.00;big
65;828.00;9.50;2503.00;big
66;1275.00;9.50;2791.00;big
66;1398.00;9.50;2853.00;big
67;793.00;9.50;2281.00;big
67;952.00;9.50;2417.00;big
68;1065.00;9.50;2177.00;big
68;918.00;12.20;1986.00;big
69;1506.00;9.50;2991.00;big
69;1603.00;9.50;3120.00;big
70;786.00;9.50;1715.00;small
70;743.00;9.50;1653.00;small
71;785.00;9.50;1832.00;big
71;783.00;9.50;1925.00;big
72;684.00;9.50;2127.00;big
72;755.00;9.50;2004.00;big
73;1721.00;9.50;3268.00;big
73;1806.00;9.50;3397.00;big
74;1870.00;9.50;3518.00;big
74;1980.00;9.50;3661.00;big
75;208.00;9.50;1676.00;big
75;154.00;9.50;1995.00;big
76;2173.00;9.50;3786.00;big
76;2196.00;9.50;3991.00;big
77;2083.00;9.50;4026.00;small
77;2059.00;9.50;3844.00;small
78;1886.00;9.50;2073.00;big
78;1811.00;10.55;2048.00;big
79;1675.00;9.50;1924.00;big
79;1713.00;9.50;2004.00;big
80;1026.00;9.50;1419.00;big
80;1136.00;9.50;1491.00;big
81;1384.00;9.70;1535.00;big
81;1251.00;9.50;1520.00;big
82;1654.00;9.50;1554.00;small
82;1616.00;9.50;1588.00;small
83;866.00;9.50;1313.00;big
83;829.00;10.35;1260.00;big
84;977.00;9.80;1403.00;big
84;905.00;9.70;1430.00;big
84;833.00;10.73;1381.00;big
84;811.00;9.70;1310.00;big
85;2522.00;9.50;3070.00;big
85;2337.00;9.50;3174.00;big
86;2638.00;9.50;3033.00;big
86;2638.00;9.50;2917.00;big
87;891.00;9.50;1520.00;big
87;834.00;9.50;1460.00;big
88;769.00;9.50;1408.00;big
88;724.00;9.50;1308.00;big
89;1480.00;9.50;1731.00;small
89;1512.00;9.50;1733.00;small
90;1204.00;9.50;1352.00;big
90;1259.00;9.50;1383.00;big
91;1067.00;9.50;1374.00;big
91;1097.00;9.50;1299.00;big
92;1446.00;9.50;1411.00;big
92;1358.00;9.50;1402.00;big
93;569.00;9.50;1467.00;big
93;382.00;9.50;1362.00;big
94;136.00;9.50;900.00;big
94;94.00;9.50;1373.00;big
95;548.00;9.50;1186.00;big
95;562.00;9.50;948.00;big
96;126.00;9.50;498.00;big
96;132.00;9.50;366.00;big
97;845.00;9.50;1086.00;big
97;805.00;9.50;1171.00;big
98;2127.00;9.50;2074.00;big
98;2135.00;9.50;1964.00;big
99;2106.00;9.50;1806.00;big
99;2050.00;9.50;1671.00;big
100;2222.00;9.50;2202.00;small
100;2251.00;9.50;2313.00;small
101;1968.00;9.50;1679.00;big
101;1934.00;9.50;1612.00;big
102;1827.00;9.50;1578.00;big
102;1844.00;9.50;1631.00;big
103;1549.00;9.50;1432.00;small
103;1584.00;9.50;1486.00;small
104;982.00;9.50;1578.00;big
104;1118.00;9.50;1687.00;big
105;1391.00;9.50;1737.00;big
105;1269.00;9.50;1718.00;big
106;1599.00;9.50;1923.00;big
106;1530.00;9.50;1852.00;big
107;1975.00;9.50;2317.00;small
107;1950.00;9.50;2188.00;small
108;2005.00;9.50;2488.00;big
108;1960.00;9.50;2396.00;big
109;2108.00;9.50;2524.00;big
109;2076.00;9.50;2595.00;big
110;1159.00;9.50;1797.00;big
110;1456.00;9.50;2001.00;big
111;1828.00;9.50;2533.00;big
111;1751.00;9.50;2198.00;big
112;2072.00;9.50;3442.00;big
112;2102.00;9.50;3631.00;big
113;1615.00;9.50;2939.00;big
113;1823.00;9.50;3250.00;big
114;1894.00;9.50;2819.00;big
114;2043.00;9.50;3142.00;big
115;2167.00;9.50;3176.00;big
115;2128.00;9.50;2927.00;big
116;1984.00;9.50;2668.00;big
116;1968.00;9.50;2617.00;big
116;1955.00;9.50;2706.00;big
116;2015.00;9.50;2828.00;big
117;712.00;9.50;1167.00;small
117;633.00;9.50;1304.00;small
118;648.00;9.50;508.00;big
119;213.00;9.50;186.00;big
120;1000.00;9.50;756.00;big
120;860.00;9.50;951.00;big
121;1009.00;9.50;1210.00;big
121;955.00;9.50;1103.00;big
122;1739.00;9.50;1551.00;big
123;2198.00;9.50;2442.00;small
123;2181.00;9.50;2549.00;small
124;2108.00;9.50;2713.00;big
124;2247.00;9.50;2698.00;big
125;2417.00;9.50;2715.00;big
125;2573.00;9.50;2844.00;big
125;2474.00;9.50;2791.00;big
126;2322.00;9.50;546.00;small
126;1191.00;9.50;275.00;small
126;1797.00;9.50;544.00;small
127;2045.00;9.50;1359.00;small
127;2302.00;9.50;1224.00;small
127;1905.00;9.50;1493.00;small
127;1663.00;9.50;1462.00;small
127;1894.00;9.50;1287.00;small
127;2048.00;9.50;1184.00;small
128;2856.00;9.50;2041.00;big
128;2791.00;9.50;1543.00;small
129;2304.00;9.50;1882.00;big
129;2205.00;9.50;1600.00;big
130;2847.00;9.50;216.00;big
130;2646.00;9.50;1212.00;big
130;2902.00;9.50;1011.00;big
130;2876.00;9.50;629.00;small
131;2200.00;9.50;3415.00;big
131;2205.00;9.50;3577.00;big
